dataname	id	macF1	micF1	k1	kacc	knmi	sim	lambd0	lambd1	lambd2	w_loss1	w_loss2
dblp	2780	0.3594+	0.3862+	0.13574926976586094,std:0.147692590	 macro_f1s:0.3594280540317186,std:0.011827424599082394, micro_f1s:0.3862200078667891,std:0.017618314677653516,k1:0.13574926976586094,std:0.1476925907368771	 macro_f1s:0.359428	 macro_f1s:0.3594280540317186	0.0001	0.0001	0.0001	0.1	10.0
dblp	2781	0.3804+	0.3939+	0.24076516384196392,std:0.122896015	 macro_f1s:0.3804295458368833,std:0.011601671554512256, micro_f1s:0.3938901271797562,std:0.017894212130283353,k1:0.24076516384196392,std:0.1228960152406012	 macro_f1s:0.380429	 macro_f1s:0.3804295458368833	0.0001	0.0001	0.0001	0.1	10.0
dblp	2782	0.5784+	0.5700+	0.1573891525005473,std:0.164234383	 macro_f1s:0.578432561769998,std:0.014701994638384642, micro_f1s:0.5700013111315065,std:0.012971219542069614,k1:0.1573891525005473,std:0.1642343838803429	 macro_f1s:0.578432	 macro_f1s:0.578432561769998,	0.0001	0.0001	0.0001	0.1	10.0
dblp	2783	0.5320+	0.5151+	0.14299160526552557,std:0.148303430	 macro_f1s:0.5319675157891093,std:0.014437625680624634, micro_f1s:0.5151173462698309,std:0.023154508161488993,k1:0.14299160526552557,std:0.1483034308115839	 macro_f1s:0.531967	 macro_f1s:0.5319675157891093	0.0001	0.0001	0.0001	0.1	10.0
dblp	2784	0.5932+	0.5844+	0.36362985671030784,std:0.157373120	 macro_f1s:0.5931600088738643,std:0.008812225264110652, micro_f1s:0.5844368690179624,std:0.005440563844635439,k1:0.36362985671030784,std:0.1573731204218111	 macro_f1s:0.593160	 macro_f1s:0.5931600088738643	0.0001	0.0001	0.0001	0.1	10.0
dblp	2785	0.7624+	0.7526+	0.581969059463647,std:0.126829184	 macro_f1s:0.7623572257008302,std:0.003912756314352514, micro_f1s:0.7525632620951882,std:0.004513721364789718,k1:0.581969059463647,std:0.1268291849681446	 macro_f1s:0.762357	 macro_f1s:0.7623572257008302	0.0001	0.0001	0.0001	0.1	10.0
dblp	2786	0.6776+	0.6530+	0.49428141670016196,std:0.144693891	 macro_f1s:0.67760163384818,std:0.0059360173970077895, micro_f1s:0.6529697128622,std:0.005865844693914606,k1:0.49428141670016196,std:0.1446938919608444	 macro_f1s:0.677601	 macro_f1s:0.67760163384818,s	0.0001	0.0001	0.0001	0.1	10.0
dblp	2787	0.6194+	0.6062+	0.4038428091180462,std:0.152431427	 macro_f1s:0.6194191514029391,std:0.008031913680838526, micro_f1s:0.6061754293955683,std:0.008031159427336232,k1:0.4038428091180462,std:0.1524314270974617	 macro_f1s:0.619419	 macro_f1s:0.6194191514029391	0.0001	0.0001	0.0001	0.1	10.0
dblp	2788	0.2873+	0.3200+	0.1256391661377129,std:0.150478799	 macro_f1s:0.28732565990762704,std:0.015918214323451432, micro_f1s:0.3199685328438443,std:0.021224234618627838,k1:0.1256391661377129,std:0.1504787995450038	 macro_f1s:0.287325	 macro_f1s:0.2873256599076270	0.0001	0.0001	0.0001	0.1	10.0
dblp	2789	0.2848+	0.3369+	0.12429014842875515,std:0.140488158	 macro_f1s:0.28484276263225994,std:0.025077218943848397, micro_f1s:0.33690835190769636,std:0.033150383090568274,k1:0.12429014842875515,std:0.1404881584969678	 macro_f1s:0.284842	 macro_f1s:0.2848427626322599	0.0001	0.0001	0.0001	0.1	10.0
dblp	2790	0.4227+	0.4112+	0.17467221982489975,std:0.144030929	 macro_f1s:0.422656363624254,std:0.02409229006948318, micro_f1s:0.41119706306542547,std:0.02085109711163646,k1:0.17467221982489975,std:0.1440309297741645	 macro_f1s:0.422656	 macro_f1s:0.422656363624254,	0.0001	0.0001	0.0001	0.1	10.0
dblp	2791	0.4875+	0.4901+	0.15155554421889436,std:0.154026950	 macro_f1s:0.48748830131604004,std:0.01735226566211807, micro_f1s:0.49008784581093484,std:0.022544177094586705,k1:0.15155554421889436,std:0.1540269505074943	 macro_f1s:0.487488	 macro_f1s:0.4874883013160400	0.0001	0.0001	0.0001	0.1	10.0
dblp	2792	0.3883+	0.3762+	0.1239986902080074,std:0.140230647	 macro_f1s:0.3882987194191343,std:0.014191983094016125, micro_f1s:0.3762291857873345,std:0.02798473448303598,k1:0.1239986902080074,std:0.1402306471998519	 macro_f1s:0.388298	 macro_f1s:0.3882987194191343	0.0001	0.0001	0.0001	0.1	10.0
dblp	2793	0.4270+	0.4356+	0.12528793681677555,std:0.1421176	 macro_f1s:0.4269743921754075,std:0.021223444023782994, micro_f1s:0.4355972204012062,std:0.012875691909982988,k1:0.12528793681677555,std:0.14211766763292	 macro_f1s:0.426974	 macro_f1s:0.4269743921754075	0.0001	0.0001	0.0001	0.1	10.0
dblp	2794	0.6467+	0.6226+	0.5183857467032369,std:0.125183884	 macro_f1s:0.6467462703380571,std:0.013622891678010625, micro_f1s:0.6225907958568244,std:0.013133879887855256,k1:0.5183857467032369,std:0.1251838841006592	 macro_f1s:0.646746	 macro_f1s:0.6467462703380571	0.0001	0.0001	0.0001	0.1	10.0
